ac: 0.018663794 0.1413641 0.07962513
ac: -0.012985006 0.13246632 0.081840515
ac: 0.030226648 0.12104416 0.057344437
Position: 54.36987145 18.60735092
ac: 0.015742779 0.15616894 0.076274395
ac: -0.0015973598 0.16432476 0.047405243
ac: 0.014094353 0.12411785 0.063735485
ac: -0.017601341 0.14494991 0.113111496
ac: -0.0029452592 0.15587616 0.034895897
ac: 0.009033203 0.14630127 0.09235573
ac: -0.002571389 0.15225983 0.07092047
ac: -0.005118802 0.1627264 0.097856045
ac: -0.010766089 0.15231323 0.04448557
ac: -0.0014803857 0.14073849 0.0969286
ac: 0.004768029 0.15316105 0.07688427
ac: 0.0062533617 0.14537048 0.070289135
ac: -0.0042336136 0.14860535 0.044119835
ac: 0.0034209937 0.124863625 0.0778451
ac: -2.322793E-4 0.13872623 0.06150341
ac: 0.0026652068 0.12584782 0.08484268
ac: -0.009013832 0.13617325 0.057565212
ac: -0.0047675073 0.14456844 0.08204365
Position: 54.36987145 18.60735092
ac: 0.008536652 0.13678646 0.061683655
ac: 0.0034317374 0.14023495 0.07394171
ac: -0.016372398 0.14999771 0.088051796
ac: 0.0011548698 0.14425755 0.074389935
ac: -0.002951175 0.14393902 0.06301451
ac: 0.0016051829 0.1361475 0.058248997
ac: -0.0023322552 0.15017891 0.03263998
ac: -0.0034570098 0.15247059 0.08196163
ac: 0.0057817996 0.13927555 0.06166029
ac: 0.011271849 0.13754082 0.066847324
ac: 0.005630553 0.14518452 0.042595387
ac: -0.010679647 0.14725494 0.08932638
ac: 0.012923196 0.13570786 0.06450987
ac: 0.01814647 0.1588192 0.042815685
ac: 0.0025758296 0.14002228 0.052283764
ac: 0.00652422 0.14458084 0.04375267
ac: -0.0026787966 0.12970924 0.05317688
ac: 0.021588147 0.14010143 0.06591749
Position: 54.36987145 18.60735092
ac: 0.017267004 0.13130188 0.073400974
ac: 0.012373447 0.13843727 0.07285309
ac: 0.012670532 0.13216782 0.08063078
ac: -0.009999052 0.14068127 0.052830696
ac: -0.010849088 0.15128708 0.0603199
ac: -0.0010625869 0.13275528 0.064489365
ac: 0.016058505 0.15060997 0.04378462
ac: -0.013576105 0.13124466 0.075316906
ac: 0.007993117 0.14553738 0.082567215
ac: 0.013412356 0.15227318 0.0900259
ac: -0.016835764 0.1387825 0.0649848
ac: -0.0040032417 0.12803078 0.07686281
ac: 0.012414068 0.1307354 0.034995556
ac: 0.0077554286 0.14848328 0.060625076
ac: -0.009504244 0.14916706 0.092105865
ac: 0.0092229545 0.12907696 0.0898571
ac: -0.0056670904 0.14900303 0.10749006
ac: -0.00825879 0.13783264 0.03284216
ac: 0.005934432 0.13448429 0.09217787
Position: 54.36987145 18.60735092
ac: -0.008995131 0.13973808 0.0858202
ac: 0.0037141293 0.1501255 0.05547762
ac: 0.011458531 0.14654446 0.07037115
ac: 0.007188529 0.14987755 0.05534649
ac: -0.00278306 0.15802002 0.07617664
ac: 0.0012405068 0.1396532 0.054834366
ac: 0.003331706 0.13479137 0.058589935
ac: 0.02979593 0.1526928 0.06175518
ac: -0.0049962103 0.15485668 0.072954655
ac: 0.017590895 0.1530037 0.05513096
ac: 0.0064266026 0.15199757 0.087664604
ac: -0.0015917271 0.14211369 0.036824703
ac: 0.006533131 0.14049435 0.054440975
ac: 0.007361397 0.14623642 0.060904026
ac: 0.005995363 0.15171337 0.060769558
ac: -0.012811765 0.13328362 0.07477665
ac: 2.5126338E-4 0.140625 0.099030495
ac: -0.0011274815 0.14053059 0.089585304
Position: 54.36987562 18.60739367
ac: 0.009594709 0.13968658 0.11826134
ac: -0.0026117265 0.14592838 0.072897434
ac: 0.0067724884 0.1501112 0.047772408
ac: -0.010026589 0.14349842 0.09389734
ac: 0.0013837814 0.11644173 0.062383175
ac: -0.006244153 0.13035583 0.06506252
ac: 0.00931859 0.12652779 0.06309986
ac: -0.006806031 0.13720989 0.07165718
ac: -0.0014399737 0.1293602 0.08614731
ac: -0.0015044957 0.13986397 0.07290459
ac: -0.010027036 0.14042091 0.07656431
ac: 0.0065190345 0.13602543 0.042224407
ac: -0.0051543117 0.14516449 0.07778692
ac: 0.0056380033 0.14278603 0.061007977
ac: -0.016340747 0.1433487 0.08143282
ac: 6.8439543E-4 0.12916756 0.10924721
ac: 0.01871179 0.13985729 0.09207535
ac: 0.00988178 0.13355541 0.0753808
Position: 54.36987562 18.60739367
ac: 0.010798022 0.15829086 0.08453417
ac: -0.01763612 0.14241123 0.042055607
ac: 0.01492247 0.14228916 0.1117053
ac: 0.009027436 0.14517212 0.053263187
ac: -0.0060079396 0.16222858 0.064058304
ac: 0.014770567 0.15273285 0.08543396
ac: 0.0070982873 0.15299702 0.083658695
ac: 0.004002005 0.13177586 0.054871082
ac: 0.019935861 0.15986824 0.070533276
ac: 0.01552774 0.1487894 0.04360771
ac: -0.012698367 0.15397644 0.07276821
ac: -0.0035448372 0.13439083 0.061065197
ac: 0.020057574 0.13174248 0.069395065
ac: 0.0036565512 0.13472939 0.056198597
ac: -0.003616944 0.15159416 0.056063175
ac: 0.014476627 0.15058136 0.061679363
ac: 0.0034029484 0.13728523 0.06256342
ac: -0.008489668 0.14940357 0.09699917
ac: 0.013190687 0.14400673 0.079624176
Position: 54.36987562 18.60739367
ac: 0.0045392513 0.13645935 0.0618186
ac: 0.017211258 0.14240932 0.059543133
ac: 0.008739337 0.13378716 0.03723097
ac: 0.016254976 0.12767982 0.07279444
ac: 0.0017507225 0.15020943 0.043946266
ac: -0.00486885 0.15024471 0.071333885
ac: 0.008909717 0.12112427 0.07875824
ac: 0.011984527 0.14552593 0.08147764
ac: -0.0033132136 0.1261425 0.07475519
ac: 0.017284244 0.1521225 0.055113792
ac: -0.007856116 0.13272 0.08554268
ac: 0.00880684 0.14542484 0.064303875
ac: -0.0013979673 0.1339283 0.06026745
ac: 0.0074897707 0.14208889 0.045204163
ac: -0.0055362284 0.13854122 0.06905365
ac: -0.008602619 0.14597034 0.0523901
ac: 0.012729272 0.1441927 0.08105087
ac: -3.6336482E-4 0.15927982 0.037665844
Position: 54.36987562 18.60739367
ac: 0.010635957 0.14387035 0.05056286
ac: -0.0013889074 0.14660358 0.08162165
ac: 0.0034764558 0.14343643 0.069366455
ac: 0.005305931 0.14266586 0.08587122
ac: 0.018611908 0.12110424 0.07034063
ac: -0.009254798 0.14459229 0.07184982
ac: 0.01005356 0.15447807 0.07786465
ac: 0.0046121776 0.14878178 0.08384085
ac: 0.012415096 0.14714718 0.040445328
ac: 0.0052310377 0.121006966 0.046599865
ac: 0.010516718 0.1407795 0.08191681
ac: -0.004697725 0.14084053 0.07278776
ac: 0.012427375 0.14481735 0.05285549
